feature,ks_statistic,p_value
tfidf_char_svd_46,0.023043205977122283,0.010855270491310269
tfidf_char_svd_13,0.02159365688203757,0.020479688879945977
tfidf_char_svd_19,0.021272592585859784,0.023440428241556097
tfidf_word_svd_6,0.01977552464184379,0.042836714634392314
tfidf_word_svd_16,0.018888736390670235,0.059968380490620365
tfidf_word_svd_8,0.018644785697080973,0.06560545506101745
tfidf_char_svd_62,0.018037020709965046,0.08164665442792962
tfidf_char_svd_49,0.0178937854956015,0.0858752421486767
tfidf_char_svd_63,0.017431055403814844,0.10081242801613122
timedelta,0.01730857408610892,0.10510953295234082
tfidf_char_svd_12,0.017301363243182655,0.1053671785219068
tfidf_char_svd_27,0.01682454473979611,0.12360109338490011
tfidf_char_svd_14,0.01673521512095577,0.12728908648366377
tfidf_word_svd_9,0.016096443509256653,0.15634746763811946
tfidf_word_svd_21,0.015844348804833097,0.1691843115620728
tfidf_char_svd_52,0.015719110400126024,0.1758647426250508
tfidf_char_svd_10,0.0155304408157948,0.18631883211170797
tfidf_word_svd_2,0.015440529481894893,0.19146872948604032
tfidf_word_svd_27,0.014461206119521286,0.2549303291710242
tfidf_char_svd_44,0.014459842724850347,0.2550284166597777
tfidf_word_svd_13,0.014268549363218919,0.2690672415736781
tfidf_char_svd_26,0.014134827613892675,0.27920891761211775
tfidf_char_svd_36,0.013993985914618201,0.2901843980056402
tfidf_char_svd_1,0.01393016692495419,0.2952572769165678
tfidf_word_svd_31,0.013753046808368807,0.30966261443715426
tfidf_word_svd_11,0.013749538339415612,0.3099528117763739
tfidf_char_svd_11,0.013368878547287827,0.34255671771100504
tfidf_word_svd_24,0.013277985569224882,0.3506683189496048
tfidf_word_svd_20,0.013140961375028959,0.3631326751507393
tfidf_char_svd_33,0.013042657589487944,0.3722482640395819
tfidf_word_svd_3,0.012959569288474637,0.3800649243853199
tfidf_char_svd_51,0.012883273722688549,0.38733212718724186
tfidf_word_svd_0,0.012821199878203404,0.3933074418923326
tfidf_char_svd_18,0.012714576355403684,0.4037011720326227
tfidf_char_svd_53,0.012544400462342287,0.4206247064675295
tfidf_word_svd_29,0.012538153084983433,0.4212536970308072
tfidf_char_svd_40,0.01248935567482734,0.4261851680426003
tfidf_char_svd_47,0.012404473752380185,0.4348407816437996
tfidf_char_svd_38,0.012395954050569827,0.43571493026084296
tfidf_char_svd_42,0.012386077013620378,0.43672956320206835
tfidf_char_svd_23,0.012304327869150478,0.44517713899503375
tfidf_char_svd_6,0.012204884891617751,0.45557088503520315
tfidf_char_svd_56,0.012063231215072467,0.4705928951069841
tfidf_word_svd_28,0.011993867753746668,0.4780383997975268
tfidf_word_svd_23,0.011968060207508624,0.48082322181100634
tfidf_char_svd_30,0.01178212953158303,0.5011122340890871
tfidf_char_svd_9,0.011661702395181384,0.5144544949913927
tfidf_char_svd_21,0.011636652290427318,0.5172485851621376
tf_avg_word_len,0.011611002292017947,0.5201160657345473
tfidf_word_svd_30,0.01145828391027659,0.5373188500488071
tfidf_word_svd_7,0.01131749068725696,0.553361173572855
tfidf_char_svd_60,0.011235032577558202,0.5628300528433332
tfidf_word_svd_4,0.011165075282109083,0.5709020529204026
tfidf_char_svd_8,0.011117180742201693,0.5764473139041095
tfidf_word_svd_26,0.011109660863150017,0.5773193000227889
tfidf_char_svd_24,0.011094069687646257,0.5791283277482725
tfidf_word_svd_15,0.01090488504310605,0.6011873191024276
tfidf_word_svd_25,0.010859208291863376,0.606539208704058
tfidf_char_svd_2,0.010790608331553375,0.6145922958133581
tfidf_char_svd_4,0.010727710390733725,0.6219898060926595
tfidf_char_svd_50,0.010725250220794194,0.622279382651247
tfidf_char_svd_16,0.010506307215236155,0.6480967730034628
tfidf_word_svd_19,0.010473809945812651,0.6519329454518994
tfidf_word_svd_22,0.010440979402136286,0.6558084302815321
tfidf_char_svd_31,0.010438658601429784,0.6560823778898666
tfidf_char_svd_0,0.010096082967110398,0.6964155238824892
tfidf_char_svd_5,0.010076401607593793,0.6987210968980146
tfidf_char_svd_45,0.010065736831501138,0.6999696406417055
tfidf_char_svd_3,0.010050000227232403,0.7018109071058487
tf_title_word_len,0.010049182190429884,0.7019065869004817
tfidf_char_svd_48,0.01003289416876102,0.7038109405385375
tfidf_char_svd_59,0.009844576037278285,0.7257090160470205
tfidf_char_svd_34,0.009804898222587788,0.7302897620731656
tfidf_char_svd_54,0.009776466899049707,0.7335638905992272
tfidf_char_svd_61,0.009726760559113007,0.7392704585556886
tfidf_char_svd_15,0.00968010216370735,0.7446054305883281
tfidf_char_svd_17,0.009659239195475955,0.7469837400629692
tfidf_word_svd_5,0.00959598980180787,0.7541651506264095
tfidf_char_svd_25,0.009496643776785024,0.7653503225483727
tfidf_char_svd_58,0.009334248322645844,0.7833508647613423
tfidf_word_svd_18,0.009071597913703155,0.8115735100865938
tfidf_char_svd_39,0.009056194583687449,0.8131897210016871
tfidf_word_svd_14,0.009024448696215992,0.8165059163988637
abs_title_sentiment_polarity,0.008999386472398063,0.8191096184456561
tfidf_char_svd_37,0.008832307000122719,0.8361266685700869
tf_textblob_subjectivity,0.008816806717596992,0.8376738721676358
tfidf_char_svd_57,0.00874491643148112,0.8447759372433465
weekday_is_wednesday,0.0084857441938323,0.8692998480203636
tfidf_char_svd_20,0.008426900079834376,0.8746155255662365
tfidf_char_svd_7,0.008392221378937359,0.8777019422745254
tfidf_word_svd_12,0.008252264371315987,0.8897974913101139
tfidf_char_svd_35,0.008191881136222823,0.8948318387873084
tfidf_word_svd_17,0.008169885035531566,0.8966373733932551
tf_title_char_len,0.008138345172143735,0.8991995346933122
tfidf_char_svd_22,0.008130498078370962,0.8998320657552457
title_subjectivity,0.008003708433504952,0.909775020192611
tfidf_char_svd_28,0.007888038029622013,0.91837976920889
tfidf_char_svd_32,0.007858915919450649,0.9204744612277848
tfidf_word_svd_1,0.007795751359228775,0.9249171277703936
is_weekend,0.007795660466250687,0.9249234208653262
tfidf_char_svd_41,0.007480358784882082,0.9449938550814453
tfidf_word_svd_10,0.007440274981556305,0.9472901787283686
abs_title_subjectivity,0.007048780746443439,0.9666787641776335
title_sentiment_polarity,0.006939515267747942,0.9711213501866375
data_channel_is_socmed,0.0068399571591096775,0.9748137157168879
n_tokens_title,0.006753257377101307,0.9777602909427725
tfidf_char_svd_29,0.006478403070970806,0.9855347358716958
tf_textblob_polarity,0.00631101456256998,0.9891933554647165
data_channel_is_tech,0.005987908204151626,0.9942871956006748
tfidf_char_svd_43,0.005679187174394862,0.9972156607766061
tfidf_char_svd_55,0.005633377113451132,0.9975237617850475
weekday_is_tuesday,0.005591220950225462,0.997782976034523
data_channel_is_world,0.005545610853833427,0.9980387763947927
tf_digit_ratio,0.005398903527707888,0.9987067994806759
tf_vader_neg,0.005231872531687554,0.9992304190945313
tf_vader_neu,0.004933258801091328,0.9997353024151212
weekday_is_sunday,0.004462742210850523,0.99996916970049
data_channel_is_entertainment,0.004402952809880567,0.9999777206021595
tf_vader_pos,0.0043141382512493776,0.9999865972229
tf_clickbait_word_count,0.0038489176918636847,0.9999994922953894
tf_noun_ratio,0.0034440015936568757,0.9999999907969694
tf_adj_ratio,0.003415467258076954,0.999999993436833
tf_has_number,0.003375934872151487,0.9999999959497521
weekday_is_saturday,0.0033329182554001635,0.9999999976514934
data_channel_is_bus,0.0025735377213433885,0.9999999999999989
tf_vader_compound,0.0024165534291648028,1.0
tf_positive_count,0.002307566688935392,1.0
tf_stopwords_ratio,0.0022637320353815493,1.0
weekday_is_monday,0.002202215667828633,1.0
weekday_is_friday,0.0021999372838451547,1.0
weekday_is_thursday,0.001879151726133399,1.0
tf_verb_ratio,0.0016098418916646873,1.0
tf_capitalized_ratio,0.0008168491343201282,1.0
tf_surprise_count,0.0006972460942529235,1.0
tf_negative_count,0.0004224887406323319,1.0
data_channel_is_lifestyle,0.0004014864031679499,1.0
tf_clickbait_phrase_count,9.61284135994056e-05,1.0
tf_punct_ratio,0.0,1.0
tf_automated_readability_index,0.0,1.0
tf_smog_index,0.0,1.0
tf_has_question,0.0,1.0
tf_has_exclamation,0.0,1.0
tf_gunning_fog,0.0,1.0
tf_flesch_reading_ease,0.0,1.0
tf_all_caps_ratio,0.0,1.0
